name,platform,profile_link,followers,likes,public_contact_method
Nicole Parish,TikTok,https://www.tiktok.com/@soundoftheforest/,3.1M,,masked business email shown on source directory
Jordyn Moore,TikTok,https://www.tiktok.com/@summershirtproject/,2.7M,,masked business email shown on source directory
Paige Layle,TikTok,https://www.tiktok.com/@paigelayle/,2.6M,,masked business email shown on source directory
Max & Jake,TikTok,https://www.tiktok.com/@mybrothermax/,1.2M,,masked business email shown on source directory
Chloe Hayden,TikTok,https://www.tiktok.com/@chloeshayden/,1.1M,,masked business email shown on source directory
AJ Wilkerson,TikTok,https://www.tiktok.com/@captainautismcomedy/,1.2M,,masked business email shown on source directory
Tyler Ty,TikTok,https://www.tiktok.com/@checkmyfreshh/,934.7K,,masked business email shown on source directory
Emily Anne,TikTok,https://www.tiktok.com/@emhahee/,866K,,masked business email shown on source directory
l Camila Lugo,TikTok,https://www.tiktok.com/@solcamilalugo/,765.8K,,masked business email shown on source directory
Kaelynn Partlow,TikTok,https://www.tiktok.com/@kaelynn_vp/,802.5K,,masked business email shown on source directory
Cheryl,TikTok,https://www.tiktok.com/@_thislineismine/,647.8K,,masked business email shown on source directory
Tola & Kev,TikTok,https://www.tiktok.com/@raisingkevin_/,744.9K,,masked business email shown on source directory
Tamara Rachelle,TikTok,https://www.tiktok.com/@livingwithlilac/,612.1K,,masked business email shown on source directory
Zane & Chantel Erickson,TikTok,https://www.tiktok.com/@joy_in_autism/,594.7K,,masked business email shown on source directory
Morgan Foley,TikTok,https://www.tiktok.com/@morgaanfoley/,634.7K,,masked business email shown on source directory
Cory Singer,TikTok,https://www.tiktok.com/@thecorysinger/,426.7K,,masked business email shown on source directory
Megan,TikTok,https://www.tiktok.com/@megmoxie/,319.1K,,masked business email shown on source directory
LaQuista & Jackson,TikTok,https://www.tiktok.com/@laquistaerinna/,252.9K,,masked business email shown on source directory
Jackie Cooper,TikTok,https://www.tiktok.com/@jrobausomemom/,232.6K,,
Ashlyn,TikTok,https://www.tiktok.com/@autismlifewithashy/,242.1K,,masked business email shown on source directory
Harry,TikTok,https://www.tiktok.com/@joannebourne12/,213.3K,,
Kathleen Duncan,TikTok,https://www.tiktok.com/@anautisticguide/,190.1K,,masked business email shown on source directory
Fryk Hey,TikTok,https://www.tiktok.com/@autistic_red_fryk_hey/,188.4K,,masked business email shown on source directory
Sophie,TikTok,https://www.tiktok.com/@sophandjosh_/,165K,,masked business email shown on source directory
Dice,TikTok,https://www.tiktok.com/@diceandautism/,162.9K,,masked business email shown on source directory
Pippa Hastings,TikTok,https://www.tiktok.com/@shewearssocks/,154.9K,,masked business email shown on source directory
Key Lime Lanna,TikTok,https://www.tiktok.com/@keylimelanna/,160.1K,,masked business email shown on source directory
